base1-1	https://images.pokemontcg.io/base1/1.png
base1-2	https://images.pokemontcg.io/base1/2.png
base1-3	https://images.pokemontcg.io/base1/3.png
base1-4	https://images.pokemontcg.io/base1/4.png
base1-5	https://images.pokemontcg.io/base1/5.png
base1-6	https://images.pokemontcg.io/base1/6.png
base1-7	https://images.pokemontcg.io/base1/7.png
base1-8	https://images.pokemontcg.io/base1/8.png
base1-9	https://images.pokemontcg.io/base1/9.png
base1-10	https://images.pokemontcg.io/base1/10.png
base1-11	https://images.pokemontcg.io/base1/11.png
base1-12	https://images.pokemontcg.io/base1/12.png
base1-13	https://images.pokemontcg.io/base1/13.png
base1-14	https://images.pokemontcg.io/base1/14.png
base1-15	https://images.pokemontcg.io/base1/15.png
base1-16	https://images.pokemontcg.io/base1/16.png
base1-17	https://images.pokemontcg.io/base1/17.png
base1-18	https://images.pokemontcg.io/base1/18.png
base1-19	https://images.pokemontcg.io/base1/19.png
base1-20	https://images.pokemontcg.io/base1/20.png
base1-21	https://images.pokemontcg.io/base1/21.png
base1-22	https://images.pokemontcg.io/base1/22.png
base1-23	https://images.pokemontcg.io/base1/23.png
base1-24	https://images.pokemontcg.io/base1/24.png
base1-25	https://images.pokemontcg.io/base1/25.png
base1-26	https://images.pokemontcg.io/base1/26.png
base1-27	https://images.pokemontcg.io/base1/27.png
base1-28	https://images.pokemontcg.io/base1/28.png
base1-29	https://images.pokemontcg.io/base1/29.png
base1-30	https://images.pokemontcg.io/base1/30.png
base1-31	https://images.pokemontcg.io/base1/31.png
base1-32	https://images.pokemontcg.io/base1/32.png
base1-33	https://images.pokemontcg.io/base1/33.png
base1-34	https://images.pokemontcg.io/base1/34.png
base1-35	https://images.pokemontcg.io/base1/35.png
base1-36	https://images.pokemontcg.io/base1/36.png
base1-37	https://images.pokemontcg.io/base1/37.png
base1-38	https://images.pokemontcg.io/base1/38.png
base1-39	https://images.pokemontcg.io/base1/39.png
base1-40	https://images.pokemontcg.io/base1/40.png
base1-41	https://images.pokemontcg.io/base1/41.png
base1-42	https://images.pokemontcg.io/base1/42.png
base1-43	https://images.pokemontcg.io/base1/43.png
base1-44	https://images.pokemontcg.io/base1/44.png
base1-45	https://images.pokemontcg.io/base1/45.png
base1-46	https://images.pokemontcg.io/base1/46.png
base1-47	https://images.pokemontcg.io/base1/47.png
base1-48	https://images.pokemontcg.io/base1/48.png
base1-49	https://images.pokemontcg.io/base1/49.png
base1-50	https://images.pokemontcg.io/base1/50.png
